equipment_name,cleaned_name,brand_name,product_name,product_category,instrument_type,equipment_urls
Blackstone Mosfet Overdrive,Blackstone Mosfet Overdrive,,,,Guitar,/items/blackstone-mosfet-overdrive
Blues Saraceno Germanium Boy Boost,Blues Saraceno Germanium Boy Boost,,,,Guitar,/items/blues-saraceno-germanium-boy-boost
BMF Effects Little Red Compressor,BMF Effects Little Red Compressor,,,,Guitar,/items/bmf-effects-little-red-compressor
BMF Effects Purple Nurple,BMF Effects Purple Nurple,,,,Guitar,/items/bmf-effects-purple-nurple
BMF Electric Sunshine,BMF Electric Sunshine,,,,Guitar,/items/bmf-electric-sunshine
Bogner Burnley Distortion,Bogner Burnley Distortion,,,,Guitar,/items/bogner-burnley-distortion
Bogner Ecstasy Blue Overdrive/Boost Guitar Effects Pedal,Bogner Ecstasy Blue Overdrive/Boost Pedal,,,,Guitar,/items/bogner-ecstasy-blue-overdrive-boost-guitar-effects-pedal
Bogner Ecstasy Red Overdrive/Boost Guitar Effects Pedal,Bogner Ecstasy Red Overdrive/Boost Pedal,,,,Guitar,/items/bogner-ecstasy-red-overdrive-boost-guitar-effects-pedal
Bogner Uberschall Distortion/Boost Guitar Effects Pedal,Bogner Uberschall Distortion/Boost Pedal,,,,Guitar,/items/bogner-uberschall-distortion-boost-guitar-effects-pedal
Bogner Wessex - Bubinga Overdrive Guitar Effects Pedal,Bogner Wessex Bubinga Overdrive Pedal,,,,Guitar,/items/bogner-wessex-bubinga-overdrive-guitar-effects-pedal
Bogner Wessex Overdrive,Bogner Wessex Overdrive,,,,Guitar,/items/bogner-wessex-overdrive
Bondi Effects 2026 Compressor,Bondi Effects 2026 Compressor,,,,Guitar,/items/bondi-effects-2026-compressor
Bondi Effects Del Mar Overdrive,Bondi Effects Del Mar Overdrive,,,,Guitar,/items/bondi-effects-del-mar-overdrive
Bondi Effects Sick As Overdrive (Limited Edition),Bondi Effects Sick As Overdrive (Limited Edition),,,,Guitar,/items/bondi-effects-sick-as-overdrive-limited-edition
Bondi Effects Sick As Overdrive (Special Edition),Bondi Effects Sick As Overdrive (Special Edition),,,,Guitar,/items/bondi-effects-sick-as-overdrive-special-edition
Bondi Effects Sick As Overdrive MkII,Bondi Effects Sick As Overdrive MKII,,,,Guitar,/items/bondi-effects-sick-as-overdrive-mkii
Boomerang E-155 Chorus/Delay Pedal,Boomerang E-155 Chorus/Delay Pedal,,,,Guitar,/items/boomerang-e-155-chorus-delay-pedal
Boomerang Phrase Sampler,Boomerang Phrase Sampler,,,,Guitar,/items/boomerang-phrase-sampler
Boomerang Wholly Roller,Boomerang Wholly Roller,Boomerang,Wholly Roller,Volume,Guitar,/items/boomerang-wholly-roller
Boorocks Leon MD1 Multi Driver,Boorocks Leon MD1 Multi Driver,Boorocks,Leon MD1 Multi Driver,Overdrive,Guitar,/items/boorocks-leon-md1-multi-driver
Boss AB-2,Boss AB-2,Boss,AB-2,AB Box,Guitar,/items/boss-ab-2
Boss AC-2,Boss AC-2,Boss,AC-2,Acoustic Simulator,Guitar,/items/boss-ac-2
Boss AC-3 Acoustic Simulator Guitar Effects Pedal,Boss AC-3 Acoustic Simulator Guitar Effects Pedal,Boss,AC-3,Acoustic Simulator,Guitar,/items/boss-ac-3-acoustic-simulator-guitar-effects-pedal
BOSS AP-2 Phase II,Boss AP-2 Phase II,Boss,AP-2,Phaser,Guitar,/items/boss-ap-2-phase-ii
